7.7	81.0	160.0	245.0	338.0	426.0	510.0	681.0	821.0	960.0	1094.0	1233.0	1353.0
7.8	74.0	134.0	212.0	323.0	426.0	553.0	660.0	783.0	919.0	1057.0	1186.0	1330.0
7.9	78.0	142.0	237.0	305.0	415.0	511.0	642.0	777.0	942.0	1043.0	1170.0	1293.0
8.0	67.0	130.0	201.0	282.0	374.0	485.0	638.0	760.0	852.0	1000.0	1132.0	1217.0
8.1	66.0	143.0	190.0	267.0	340.0	469.0	577.0	710.0	824.0	955.0	1067.0	1236.0
8.2	65.0	93.0	164.0	251.0	323.0	399.0	533.0	656.0	785.0	912.0	1011.0	1178.0
8.3	56.0	96.0	158.0	238.0	319.0	430.0	526.0	656.0	793.0	904.0	966.0	1100.0
8.4	51.0	87.0	152.0	220.0	294.0	387.0	494.0	626.0	722.0	871.0	948.0	1034.0
8.5	49.0	85.0	130.0	194.0	248.0	371.0	455.0	554.0	665.0	768.0	856.0	1006.0
8.6	43.0	86.0	133.0	168.0	243.0	321.0	429.0	542.0	617.0	711.0	808.0	974.0
8.7	35.0	69.0	114.0	158.0	240.0	316.0	392.0	498.0	577.0	669.0	760.0	868.0
8.8	32.0	68.0	105.0	147.0	216.0	289.0	414.0	432.0	555.0	628.0	705.0	800.0
8.9	26.0	61.0	94.0	141.0	184.0	283.0	364.0	440.0	512.0	606.0	691.0	774.0
9.0	24.0	49.0	85.0	113.0	164.0	237.0	327.0	411.0	514.0	567.0	670.0	724.0
9.1	22.0	53.0	81.0	103.0	174.0	228.0	319.0	379.0	468.0	539.0	633.0	684.0
9.2	20.0	47.0	60.0	106.0	132.0	216.0	288.0	360.0	407.0	529.0	556.0	638.0
9.3	22.0	33.0	52.0	82.0	142.0	196.0	292.0	340.0	407.0	477.0	526.0	615.0
9.4	14.0	29.0	48.0	72.0	138.0	195.0	262.0	346.0	390.0	436.0	504.0	555.0
9.5	15.0	30.0	45.0	67.0	147.0	186.0	249.0	325.0	374.0	429.0	482.0	542.0
9.6	13.0	24.0	47.0	67.0	129.0	174.0	267.0	286.0	349.0	396.0	485.0	499.0
9.7	12.0	22.0	32.0	66.0	124.0	181.0	218.0	291.0	325.0	373.0	456.0	505.0
9.8	10.0	18.0	40.0	59.0	109.0	168.0	237.0	292.0	297.0	373.0	442.0	548.0
9.9	10.0	18.0	30.0	77.0	131.0	164.0	219.0	300.0	326.0	375.0	436.0	489.0
10.0	9.0	28.0	30.0	73.0	116.0	167.0	243.0	296.0	334.0	353.0	432.0	448.0
10.1	9.0	15.0	33.0	73.0	127.0	177.0	213.0	282.0	327.0	370.0	413.0	475.0
